iter	Logloss
195	0.3514151842
196	0.3512691288
197	0.3510776554
198	0.3508591829
199	0.3507517196
200	0.3506584528
201	0.3505085997
202	0.3502740004
203	0.3500683334
204	0.3499024146
205	0.3498080474
206	0.3495477581
207	0.3494058058
208	0.349290533
209	0.349141852
210	0.3490491738
211	0.3489565891
212	0.3488067364
213	0.3486851456
214	0.3485346988
215	0.3484458486
216	0.3483387357
217	0.348110584
218	0.3478293108
219	0.3477073456
220	0.3474481698
221	0.3473273174
222	0.3472442577
223	0.3470163695
224	0.3468633009
225	0.3467569043
226	0.3466119342
227	0.3464993823
228	0.3464292498
229	0.3462180068
230	0.3459990646
231	0.3458289017
232	0.345612912
233	0.3455339952
234	0.3453853363
235	0.3453015009
236	0.345201953
237	0.345089959
238	0.34493836
239	0.3448184106
240	0.3446684941
241	0.3445442197
242	0.3443018066
243	0.3441750061
244	0.3440553777
245	0.3439045201
246	0.3437988885
247	0.3436758849
248	0.3435961949
249	0.3435017154
250	0.3433649234
251	0.343338634
252	0.3432121843
253	0.3430593867
254	0.3429519373
255	0.3428664405
256	0.342697309
257	0.3425317402
258	0.3425223501
259	0.3423483354
260	0.3421834615
261	0.3420980568
262	0.3420352447
263	0.3419139504
264	0.341864971
265	0.3418047554
266	0.3417137241
267	0.3416113074
268	0.3415441087
269	0.3413981125
270	0.3412853815
271	0.3411816511
272	0.3410588768
273	0.340923051
274	0.3408300277
275	0.3407002381
276	0.3406522607
277	0.3404498718
278	0.3403701177
279	0.3401726203
280	0.3401201259
281	0.3400385605
282	0.339889674
283	0.3397377665
284	0.3396231707
285	0.3395120369
286	0.3394877079
287	0.3393109861
288	0.339200096
289	0.339094562
290	0.3389558358
291	0.338825067
292	0.3387234585
293	0.3386454081
294	0.3385632261
295	0.3384301064
296	0.3382711275
297	0.3381812955
298	0.338091853
299	0.3378777799
300	0.3378749129
301	0.337818489
302	0.337734695
303	0.3376430646
304	0.3375350278
305	0.3374379765
306	0.3373644669
307	0.3372821695
308	0.3372639774
309	0.3371302684
310	0.3369176938
311	0.3368641763
312	0.3366543402
313	0.3365024966
314	0.336301448
315	0.3362123745
316	0.3360965924
317	0.3360370278
318	0.3359031941
319	0.3358562598
320	0.3357103442
321	0.3356149655
322	0.3355393615
323	0.3353558605
324	0.3353015315
325	0.3351671991
326	0.3351036849
327	0.3349535422
328	0.3349160367
329	0.3348116011
330	0.3347512623
331	0.334560607
332	0.3344738307
333	0.3344221552
334	0.3343847258
335	0.3343357081
336	0.3343034765
337	0.3341366752
338	0.3340759757
339	0.333959419
340	0.3337866523
341	0.3336192851
342	0.3335887199
343	0.3335245852
344	0.333426409
345	0.3333476644
346	0.3332632216
347	0.3331401898
348	0.3330053763
349	0.332875834
350	0.3327625749
351	0.3326911804
352	0.3325455269
353	0.3324811022
354	0.3323756643
355	0.3321934363
356	0.3320829051
357	0.3318896748
358	0.3318109239
359	0.331706983
360	0.3316460377
361	0.3314874567
362	0.3313210778
363	0.3311670151
364	0.3310778003
365	0.3309539461
366	0.3308482997
367	0.3306993903
368	0.3306194769
369	0.3304472427
370	0.3304298517
371	0.3302404392
372	0.330157995
373	0.3300531893
374	0.3299024384
375	0.329765641
376	0.3296934562
377	0.3295817546
378	0.3294795006
379	0.3293431517
380	0.329223558
381	0.3291266991
382	0.3289405984
383	0.3288335636
384	0.3287160084
385	0.328647636
386	0.3285113928
387	0.3284448011
388	0.3283119763
389	0.3282348443
390	0.3280687784
391	0.3279504127
392	0.3278325651
393	0.3276186808
394	0.3274978465
395	0.3274400926
396	0.3273063223
397	0.3271267255
398	0.3270236537
399	0.3268403123
400	0.326697548
401	0.326566288
402	0.3264599528
403	0.3264016214
404	0.3263047731
405	0.326208547
406	0.3261335864
407	0.3260922519
408	0.3259964515
409	0.3258916943
410	0.3257132548
411	0.3255668871
412	0.3254551754
413	0.3252345858
414	0.3251667032
415	0.325016386
416	0.3248976149
417	0.3247250595
418	0.3246790103
419	0.3245685252
420	0.3244756453
421	0.3243999714
422	0.3242834601
423	0.3242179016
424	0.3241156395
425	0.3240609924
426	0.3239846112
427	0.3238798871
428	0.3238153213
429	0.3237401393
430	0.3236273752
431	0.3235180456
432	0.3233791877
433	0.3232570682
434	0.3231623263
435	0.3230556717
436	0.3228926253
437	0.3227527384
438	0.3226852565
439	0.3225562235
440	0.3224871361
441	0.3223944701
442	0.3223226279
443	0.3222024473
444	0.3220919675
445	0.3220023923
446	0.321922947
447	0.3217825269
448	0.3217015818
449	0.3216270058
450	0.3215675124
451	0.3214648335
452	0.3213305087
453	0.3212678105
454	0.3211925163
455	0.3210852442
456	0.3209092609
457	0.3208486657
458	0.320743127
459	0.3206709942
460	0.3206045737
461	0.3204997573
462	0.3204338848
463	0.3203352654
464	0.3202249933
465	0.3201094819
466	0.3200591886
467	0.3199327199
468	0.319852182
469	0.3197882765
470	0.3197197048
471	0.3196060113
472	0.3195771895
473	0.3194593102
474	0.3193880864
475	0.3192838957
476	0.3192583527
477	0.319173038
478	0.3190743324
479	0.3189882965
480	0.3189020432
481	0.3188522736
482	0.3187496191
483	0.3187202896
484	0.3186534753
485	0.3185280293
486	0.3184182729
487	0.3182798792
488	0.3182049449
489	0.3181880148
490	0.3180814852
491	0.3179845512
492	0.3179308412
493	0.3178981936
494	0.3178473448
495	0.3177290782
496	0.3176620442
497	0.317578946
498	0.317453933
499	0.3173452074
500	0.317271305
501	0.3171860283
502	0.3171587964
503	0.3170099978
504	0.316904002
505	0.3168118997
506	0.3167476441
507	0.3167169598
508	0.3166041585
509	0.3165244318
510	0.3164418702
511	0.3163783425
512	0.3162482539
513	0.3161500451
514	0.3161300223
515	0.3160269896
516	0.3159835029
517	0.3159392862
518	0.3158675701
519	0.315788188
520	0.3156884925
521	0.3156110623
522	0.3155090671
523	0.3154370509
524	0.3153821974
525	0.315350957
526	0.315265807
527	0.3151690474
528	0.3150533534
529	0.3149810654
530	0.3149081973
531	0.3148288693
532	0.3147121961
533	0.3146195862
534	0.3145773397
535	0.3144720357
536	0.3143705396
537	0.3142506767
538	0.3141383804
539	0.3140745522
540	0.3139803593
541	0.3138832921
542	0.3137948674
543	0.3137195377
544	0.313642041
545	0.3135432115
546	0.3134214508
547	0.3133055823
548	0.3132866841
549	0.3132288563
550	0.313141452
551	0.3130816197
552	0.3129935338
553	0.3128717044
554	0.3127899157
555	0.3127657997
556	0.3127633413
557	0.3126480761
558	0.3126112041
559	0.3125033042
560	0.3123768661
561	0.3122882968
562	0.3121498373
563	0.312068796
564	0.3119848218
565	0.3118740263
566	0.3117726492
567	0.3116463459
568	0.3115751428
569	0.3115090358
570	0.3114237967
571	0.3113161251
572	0.3111549656
573	0.3111371545
574	0.3110405754
575	0.3109463213
576	0.3108461537
577	0.3107211021
578	0.3106578826
579	0.3105919532
580	0.3105871958
581	0.3104283818
582	0.3103514401
583	0.3102573076
584	0.3101875468
585	0.3100744029
586	0.3099880213
587	0.3099845555
588	0.3098989255
589	0.3097999842
590	0.3097310861
591	0.3097300726
592	0.309650352
593	0.309486181
594	0.3094852741
595	0.3094095221
596	0.3093249995
597	0.3091993536
598	0.3090962032
599	0.3090134315
600	0.3089210903
601	0.3088320584
602	0.3088157554
603	0.3087325686
604	0.3086725589
605	0.3086452308
606	0.3085832322
607	0.3084757337
608	0.3083647806
609	0.3082713719
610	0.3081654789
611	0.3080535968
612	0.3079714459
613	0.307860454
614	0.307785078
615	0.3077279543
616	0.3076571783
617	0.3076009062
618	0.3075335716
619	0.3074685829
620	0.3073993927
621	0.3073472802
622	0.3072099263
623	0.3071074487
624	0.3070042458
625	0.3069361233
626	0.3068443511
627	0.3067264393
628	0.3066471549
629	0.3066104397
630	0.3065319619
631	0.3065090691
632	0.3064148192
633	0.3063206611
634	0.3062699472
635	0.3061848043
636	0.3061000551
637	0.3060468923
638	0.3058853431
639	0.305800467
640	0.3057311962
641	0.305608208
642	0.305520391
643	0.305435054
644	0.3053842163
645	0.3053439181
646	0.3052635858
647	0.3051835809
648	0.3050987874
649	0.3050178642
650	0.3049293984
651	0.3049098566
652	0.3048511183
653	0.3047751469
654	0.3047092277
655	0.3046131767
656	0.3044581549
657	0.3043792966
658	0.3043177079
659	0.3042240294
660	0.3041137831
661	0.3040443114
662	0.3040060344
663	0.3038798981
664	0.3038035491
665	0.3037047937
666	0.3036351216
667	0.3036095196
668	0.3035507756
669	0.3034881333
670	0.3034777443
671	0.3033915856
672	0.3033062189
673	0.3033027186
674	0.3032259435
675	0.3031385411
676	0.3030570744
677	0.3029723407
678	0.3028699975
679	0.3027854751
680	0.3027282295
681	0.3026446175
682	0.3025702838
683	0.3024844884
684	0.3024527596
685	0.30238409
686	0.3023372994
687	0.3022208317
688	0.3021488624
689	0.3020591046
690	0.3020067763
691	0.3019171963
692	0.301847958
693	0.3017432543
694	0.3017272673
695	0.3016525524
696	0.3015902964
697	0.3015372345
698	0.3014520545
699	0.3013872257
700	0.3013245919
701	0.3012657382
702	0.3012046493
703	0.3011303462
704	0.3010594237
705	0.3009719819
706	0.3008751109
707	0.3007779223
708	0.3006870096
709	0.3005978629
710	0.3005401956
711	0.300472453
712	0.3003835991
713	0.3003010607
714	0.3002871104
715	0.3002380388
716	0.3001894248
717	0.3001026764
718	0.3000371564
719	0.2999612823
720	0.2998260363
721	0.2997497107
722	0.2996857433
723	0.2996087993
724	0.2995633332
725	0.2995003376
726	0.2994090082
727	0.2994055269
728	0.2993239819
729	0.2993077747
730	0.2992565278
731	0.2992538024
732	0.2991882203
733	0.299113322
734	0.2990455866
735	0.2989314031
736	0.2989001531
737	0.2988263935
738	0.298737283
739	0.2987011792
740	0.2986369337
741	0.2985532267
742	0.2985123755
743	0.2984999659
744	0.2984385734
745	0.2983129051
746	0.2982475417
747	0.2981905053
748	0.2981316933
749	0.2980751193
750	0.2980326824
751	0.2980233979
752	0.2979852079
753	0.2979283562
754	0.2978148175
755	0.2977347208
756	0.2976552508
757	0.2975815357
758	0.2974914522
759	0.2973668401
760	0.2972941611
761	0.2972481989
762	0.2971344809
763	0.2970228034
764	0.2969552091
765	0.2968463624
766	0.2967620704
767	0.2967485541
768	0.2966843937
769	0.2966837058
770	0.2966062628
771	0.2965414993
772	0.2964905755
773	0.2964047907
774	0.296355681
775	0.2963050807
776	0.2962218915
777	0.2961464964
778	0.2959986979
779	0.2959396714
780	0.2958592567
781	0.2957989363
782	0.2957052998
783	0.2956474918
784	0.2955645873
785	0.2955037513
786	0.2954758937
787	0.295472847
788	0.2954318966
789	0.2953464492
790	0.2952671206
791	0.295193601
792	0.2951287143
793	0.2950600802
794	0.294999871
795	0.2949240047
796	0.2948789169
797	0.2948360558
798	0.2947378645
799	0.2946938632
800	0.2946319176
801	0.294577047
802	0.2945069279
803	0.2944312383
804	0.2943541075
805	0.294237401
806	0.2941850262
807	0.2941037462
808	0.2940019234
809	0.293926995
810	0.2938560034
811	0.2937756905
812	0.2937744796
813	0.2936848376
814	0.2936073939
815	0.2935090213
816	0.2934600733
817	0.2933731315
818	0.2933076575
819	0.2932038908
820	0.2931537957
821	0.2930474256
822	0.2929548698
823	0.2928932155
824	0.2928188855
825	0.2927466025
826	0.2926841369
827	0.2926227391
828	0.2925578906
829	0.2925311201
830	0.2924319975
831	0.2923922585
832	0.2923299051
833	0.2922227556
834	0.2921716765
835	0.2921017895
836	0.2920520106
837	0.2919540737
838	0.2919045595
839	0.2918097138
840	0.2917513405
841	0.2916392243
842	0.2915704117
843	0.2915015366
844	0.2914431871
845	0.2913501196
846	0.291229899
847	0.29119181
848	0.2911553519
849	0.291049174
850	0.2909841577
851	0.2908610107
852	0.2908027894
853	0.2907027079
854	0.2906706164
855	0.2906305608
856	0.2905325862
857	0.2904824859
858	0.2904260526
859	0.2903756824
860	0.29030505
861	0.2902141921
862	0.2901564738
863	0.290037861
864	0.2899970704
865	0.2899261381
866	0.2898604977
867	0.28981185
868	0.2897936068
869	0.2896956999
870	0.2896219254
871	0.2895651932
872	0.2894942259
873	0.289407135
874	0.2893846459
875	0.2893319808
876	0.2892781719
877	0.2892275623
878	0.2891671648
879	0.2891080176
880	0.2890170618
881	0.2889308682
882	0.2888650256
883	0.2887606524
884	0.2886870593
885	0.2886205008
886	0.288552624
887	0.2884485881
888	0.2883453772
889	0.2882756477
890	0.2882299287
891	0.2882013456
892	0.2881253201
893	0.2880989955
894	0.2879815791
895	0.2879127219
896	0.2878542296
897	0.287817363
898	0.2877945648
899	0.2877273305
900	0.2876822066
901	0.2875707723
902	0.2874816641
903	0.2874245457
904	0.2873293419
905	0.2872571618
906	0.2872001833
907	0.2871412595
908	0.2871108416
909	0.2870528469
910	0.2870042092
911	0.2869543055
912	0.2869191634
913	0.2868656719
914	0.286819081
915	0.2867085003
916	0.2865972657
917	0.2865124555
918	0.2864308537
919	0.2863533155
920	0.2863020031
921	0.2862458763
922	0.2861791611
923	0.2860887399
924	0.2860163711
925	0.2859565707
926	0.2858685277
927	0.2858233694
928	0.2857424475
929	0.2856461877
930	0.285576864
931	0.2855392875
932	0.2854403324
933	0.285389923
934	0.2853378046
935	0.2852597448
936	0.2852099878
937	0.2851029071
938	0.2850597146
939	0.2849880112
940	0.28491115
941	0.2848400912
942	0.2848122403
943	0.2847031422
944	0.2846059632
945	0.2845292028
946	0.2844557669
947	0.2844098113
948	0.2843352069
949	0.2842662989
950	0.2841889552
951	0.28413262
952	0.2840686976
953	0.2840188511
954	0.2839508719
955	0.2838681459
956	0.2837992563
957	0.2837467469
958	0.2836930667
959	0.2836657712
960	0.2836234722
961	0.2835652539
962	0.2834595388
963	0.2834209133
964	0.2833386167
965	0.2832715651
966	0.2832099137
967	0.2831380687
968	0.2830473404
969	0.2829977489
970	0.2829255384
971	0.2828993919
972	0.2828267362
973	0.282794285
974	0.2826928572
975	0.2826543367
976	0.282568758
977	0.282482394
978	0.2823962836
979	0.2823164576
980	0.2822706396
981	0.2821677051
982	0.282106317
983	0.2820286051
984	0.2819389102
985	0.2819130543
986	0.2818446596
987	0.2817895692
988	0.2817077055
989	0.2816475408
990	0.2816106266
991	0.2815442136
992	0.2815008285
993	0.2814022869
994	0.2813473435
995	0.2812631069
996	0.2812088373
997	0.2811606124
998	0.2810956337
999	0.2810409587
