iter	Passed	Remaining
174	418	1972
175	420	1969
176	423	1967
177	425	1963
178	427	1960
179	429	1956
180	431	1953
181	434	1951
182	436	1948
183	438	1946
184	441	1943
185	443	1939
186	445	1936
187	447	1932
188	449	1930
189	452	1928
190	454	1925
191	456	1922
192	459	1919
193	461	1915
194	463	1912
195	465	1910
196	467	1907
197	470	1904
198	472	1900
199	474	1897
200	476	1894
201	478	1890
202	480	1888
203	483	1887
204	485	1884
205	488	1881
206	490	1878
207	492	1874
208	494	1871
209	496	1868
210	499	1867
211	501	1864
212	503	1861
213	506	1859
214	508	1856
215	510	1853
216	512	1850
217	515	1849
218	517	1846
219	520	1844
220	522	1841
221	524	1838
222	526	1835
223	528	1832
224	531	1830
225	533	1827
226	535	1824
227	538	1822
228	540	1819
229	542	1816
230	544	1813
231	547	1812
232	549	1809
233	551	1806
234	554	1803
235	556	1800
236	558	1797
237	560	1796
238	563	1794
239	565	1791
240	567	1788
241	570	1785
242	572	1782
243	574	1779
244	577	1778
245	579	1776
246	581	1774
247	584	1772
248	587	1773
249	590	1770
250	592	1767
251	594	1765
252	597	1763
253	599	1760
254	601	1757
255	603	1754
256	605	1751
257	608	1749
258	609	1744
259	612	1743
260	614	1740
261	616	1737
262	619	1734
263	621	1732
264	623	1729
265	625	1727
266	628	1725
267	630	1722
268	632	1720
269	635	1717
270	637	1714
271	639	1711
272	642	1710
273	644	1708
274	647	1705
275	649	1703
276	651	1700
277	653	1697
278	655	1695
279	658	1693
280	660	1691
281	663	1688
282	665	1685
283	667	1683
284	669	1680
285	672	1677
286	674	1676
287	677	1674
288	679	1671
289	681	1669
290	684	1667
291	686	1664
292	688	1662
293	691	1661
294	694	1659
295	696	1657
296	698	1654
297	701	1651
298	703	1648
299	705	1646
300	707	1642
301	709	1639
302	711	1637
303	714	1634
304	716	1632
305	718	1629
306	720	1626
307	723	1625
308	725	1621
309	727	1619
310	729	1617
311	732	1614
312	734	1612
313	736	1609
314	739	1608
315	741	1605
316	744	1603
317	746	1600
318	748	1598
319	750	1595
320	752	1592
321	755	1591
322	758	1589
323	760	1587
324	763	1584
325	765	1582
326	767	1579
327	769	1577
328	772	1576
329	775	1574
330	777	1572
331	780	1569
332	782	1566
333	784	1564
334	787	1562
335	789	1561
336	793	1560
337	795	1558
338	797	1555
339	800	1553
340	802	1551
341	805	1549
342	806	1545
343	809	1542
344	811	1540
345	813	1537
346	815	1534
347	818	1533
348	820	1530
349	822	1528
350	825	1525
351	827	1522
352	829	1520
353	831	1517
354	834	1515
355	836	1513
356	838	1510
357	840	1508
358	843	1505
359	845	1502
360	847	1500
361	850	1498
362	852	1495
363	854	1493
364	856	1490
365	859	1488
366	861	1485
367	863	1482
368	866	1480
369	868	1478
370	870	1475
371	872	1473
372	874	1470
373	877	1468
374	879	1465
375	882	1463
376	884	1461
377	886	1459
378	889	1456
379	891	1454
380	893	1451
381	895	1449
382	898	1447
383	900	1445
384	903	1442
385	905	1440
386	907	1437
387	909	1434
388	911	1432
389	914	1430
390	917	1428
391	919	1425
392	921	1423
393	923	1420
394	925	1417
395	927	1415
396	930	1413
397	932	1410
398	934	1408
399	937	1405
400	939	1403
401	941	1400
402	943	1397
403	946	1396
404	948	1393
405	950	1391
406	953	1388
407	955	1386
408	957	1384
409	960	1381
410	962	1379
411	965	1378
412	968	1376
413	971	1374
414	973	1372
415	975	1369
416	978	1367
417	980	1365
418	983	1364
419	986	1362
420	989	1360
421	991	1358
422	994	1356
423	997	1355
424	1000	1352
425	1002	1350
426	1004	1347
427	1006	1345
428	1008	1342
429	1012	1341
430	1014	1339
431	1016	1337
432	1019	1334
433	1021	1331
434	1023	1329
435	1026	1327
436	1029	1325
437	1031	1323
438	1033	1320
439	1035	1318
440	1037	1315
441	1040	1312
442	1042	1310
443	1045	1309
444	1047	1306
445	1050	1304
446	1052	1301
447	1054	1299
448	1056	1296
449	1059	1295
450	1062	1293
451	1064	1290
452	1066	1288
453	1069	1285
454	1071	1282
455	1073	1280
456	1076	1278
457	1078	1276
458	1080	1273
459	1082	1270
460	1084	1268
461	1087	1265
462	1089	1263
463	1091	1261
464	1094	1258
465	1096	1256
466	1098	1253
467	1100	1251
468	1102	1248
469	1105	1246
470	1107	1243
471	1109	1241
472	1111	1238
473	1113	1236
474	1116	1233
475	1118	1231
476	1120	1228
477	1123	1226
478	1125	1223
479	1127	1221
480	1129	1218
481	1131	1216
482	1133	1213
483	1136	1211
484	1138	1208
485	1140	1206
486	1142	1203
487	1145	1201
488	1147	1198
489	1149	1196
490	1151	1193
491	1154	1191
492	1156	1189
493	1158	1186
494	1160	1184
495	1162	1181
496	1165	1179
497	1167	1176
498	1169	1174
499	1172	1172
500	1176	1171
501	1178	1169
502	1180	1166
503	1183	1164
504	1185	1162
505	1187	1159
506	1190	1157
507	1192	1154
508	1194	1152
509	1196	1149
510	1199	1147
511	1201	1145
512	1203	1142
513	1206	1140
514	1208	1137
515	1210	1135
516	1212	1132
517	1214	1130
518	1217	1127
519	1219	1125
520	1221	1123
521	1223	1120
522	1225	1118
523	1228	1115
524	1230	1113
525	1232	1110
526	1234	1108
527	1237	1105
528	1239	1103
529	1241	1100
530	1243	1098
531	1245	1095
532	1247	1093
533	1249	1090
534	1252	1088
535	1254	1086
536	1256	1083
537	1258	1081
538	1261	1078
539	1263	1076
540	1265	1074
541	1268	1071
542	1270	1069
543	1273	1067
544	1275	1064
545	1277	1062
546	1279	1059
547	1282	1057
548	1285	1055
549	1287	1053
550	1289	1050
551	1291	1048
552	1293	1045
553	1295	1043
554	1298	1041
555	1300	1038
556	1303	1036
557	1305	1034
558	1307	1031
559	1309	1029
560	1311	1026
561	1314	1024
562	1317	1022
563	1319	1019
564	1321	1017
565	1323	1014
566	1325	1012
567	1328	1010
568	1330	1007
569	1332	1005
570	1335	1003
571	1337	1000
572	1339	998
573	1341	995
574	1344	993
575	1347	991
576	1349	989
577	1351	986
578	1353	984
579	1356	981
580	1358	979
581	1360	977
582	1363	975
583	1365	972
584	1368	970
585	1371	968
586	1373	966
587	1375	964
588	1378	961
589	1380	959
590	1383	957
591	1385	954
592	1387	952
593	1389	949
594	1391	947
595	1394	945
596	1396	942
597	1399	940
598	1401	938
599	1403	935
600	1405	933
601	1407	930
602	1410	928
603	1413	926
604	1415	924
605	1417	921
606	1419	919
607	1421	916
608	1424	914
609	1426	912
610	1429	909
611	1431	907
612	1433	905
613	1435	902
614	1438	900
615	1440	897
616	1443	895
617	1445	893
618	1447	891
619	1450	888
620	1452	886
621	1454	884
622	1456	881
623	1459	879
624	1461	877
625	1464	874
626	1466	872
627	1468	870
628	1471	867
629	1473	865
630	1476	863
631	1479	861
632	1481	859
633	1484	856
634	1486	854
635	1488	851
636	1491	849
637	1494	847
638	1496	845
639	1498	842
640	1500	840
641	1503	838
642	1505	835
643	1508	833
644	1511	831
645	1513	829
646	1515	826
647	1517	824
648	1520	822
649	1522	819
650	1525	817
651	1528	815
652	1530	813
653	1532	810
654	1534	808
655	1537	806
656	1539	803
657	1542	801
658	1544	799
659	1547	796
660	1549	794
661	1551	792
662	1553	789
663	1556	787
664	1559	785
665	1562	783
666	1564	781
667	1566	778
668	1568	776
669	1571	774
670	1574	771
671	1577	769
672	1579	767
673	1582	765
674	1584	762
675	1587	760
676	1589	758
677	1591	755
678	1593	753
679	1596	751
680	1598	748
681	1600	746
682	1603	744
683	1605	741
684	1607	739
685	1609	736
686	1611	734
687	1614	731
688	1616	729
689	1618	727
690	1620	724
691	1623	722
692	1625	719
693	1627	717
694	1629	715
695	1631	712
696	1633	710
697	1636	707
698	1638	705
699	1640	703
700	1642	700
701	1644	698
702	1646	695
703	1649	693
704	1651	691
705	1653	688
706	1656	686
707	1658	683
708	1660	681
709	1662	679
710	1664	676
711	1667	674
712	1669	672
713	1671	669
714	1674	667
715	1676	664
716	1678	662
717	1680	660
718	1683	657
719	1685	655
720	1687	652
721	1689	650
722	1691	648
723	1693	645
724	1696	643
725	1698	640
726	1700	638
727	1702	636
728	1705	633
729	1707	631
730	1709	629
731	1711	626
732	1713	624
733	1716	622
734	1718	619
735	1720	617
736	1722	614
737	1725	612
738	1727	610
739	1729	607
740	1732	605
741	1734	603
742	1736	600
743	1739	598
744	1741	596
745	1743	593
746	1745	591
747	1748	588
748	1750	586
749	1752	584
750	1755	582
751	1757	579
752	1760	577
753	1762	575
754	1765	572
755	1768	570
756	1770	568
757	1772	565
758	1774	563
759	1776	561
760	1778	558
761	1781	556
762	1783	554
763	1785	551
764	1787	549
765	1790	546
766	1792	544
767	1794	542
768	1796	539
769	1799	537
770	1801	535
771	1803	532
772	1805	530
773	1808	527
774	1810	525
775	1812	523
776	1815	521
777	1817	518
778	1819	516
779	1822	513
780	1824	511
781	1826	509
782	1829	506
783	1831	504
784	1834	502
785	1836	499
786	1838	497
787	1840	495
788	1842	492
789	1845	490
790	1848	488
791	1851	486
792	1853	483
793	1856	481
794	1858	479
795	1862	477
796	1864	474
797	1867	472
798	1869	470
799	1872	468
800	1874	465
801	1877	463
802	1880	461
803	1882	458
804	1885	456
805	1887	454
806	1889	451
807	1892	449
808	1895	447
809	1897	445
810	1899	442
811	1902	440
812	1904	438
813	1906	435
814	1910	433
815	1912	431
816	1915	429
817	1918	426
818	1920	424
819	1923	422
820	1925	419
821	1928	417
822	1930	415
823	1933	412
824	1935	410
825	1937	408
826	1940	405
827	1942	403
828	1944	401
829	1947	398
830	1949	396
831	1952	394
832	1954	391
833	1956	389
834	1959	387
835	1962	384
836	1965	382
837	1967	380
838	1969	377
839	1971	375
840	1974	373
841	1976	370
842	1978	368
843	1980	366
844	1983	363
845	1985	361
846	1987	358
847	1989	356
848	1991	354
849	1994	351
850	1996	349
851	1999	347
852	2001	344
853	2004	342
854	2006	340
855	2009	337
856	2011	335
857	2013	333
858	2016	330
859	2018	328
860	2021	326
861	2023	323
862	2026	321
863	2028	319
864	2031	317
865	2033	314
866	2036	312
867	2039	310
868	2041	307
869	2044	305
870	2046	303
871	2049	300
872	2051	298
873	2055	296
874	2058	294
875	2060	291
876	2063	289
877	2065	287
878	2068	284
879	2071	282
880	2074	280
881	2076	277
882	2079	275
883	2082	273
884	2085	270
885	2088	268
886	2090	266
887	2093	264
888	2096	261
889	2098	259
890	2101	257
891	2104	254
892	2106	252
893	2109	250
894	2111	247
895	2114	245
896	2116	243
897	2119	240
898	2122	238
899	2124	236
900	2127	233
901	2130	231
902	2134	229
903	2138	227
904	2140	224
905	2143	222
906	2146	220
907	2150	217
908	2153	215
909	2156	213
910	2159	210
911	2161	208
912	2165	206
913	2168	204
914	2171	201
915	2173	199
916	2176	197
917	2179	194
918	2183	192
919	2186	190
920	2188	187
921	2191	185
922	2194	183
923	2198	180
924	2200	178
925	2203	176
926	2206	173
927	2208	171
928	2211	169
929	2214	166
930	2217	164
931	2220	162
932	2223	159
933	2226	157
934	2229	154
935	2231	152
936	2234	150
937	2236	147
938	2239	145
939	2242	143
940	2245	140
941	2247	138
942	2250	136
943	2253	133
944	2255	131
945	2258	128
946	2261	126
947	2264	124
948	2266	121
949	2269	119
950	2272	117
951	2275	114
952	2278	112
953	2280	109
954	2283	107
955	2285	105
956	2288	102
957	2291	100
958	2294	98
959	2296	95
960	2299	93
961	2301	90
962	2304	88
963	2306	86
964	2310	83
965	2312	81
966	2315	79
967	2317	76
968	2320	74
969	2322	71
970	2326	69
971	2328	67
972	2331	64
973	2334	62
974	2336	59
975	2339	57
976	2342	55
977	2345	52
978	2347	50
979	2350	47
980	2353	45
981	2357	43
982	2360	40
983	2363	38
984	2365	36
985	2368	33
986	2371	31
987	2374	28
988	2377	26
989	2380	24
990	2382	21
991	2385	19
992	2389	16
993	2392	14
994	2394	12
995	2397	9
996	2399	7
997	2402	4
998	2406	2
999	2409	0
